Title;Salary;Company;Location;Date
Проект-менеджер;120 000-140 000 KZT;ТОО WOOPPAY;Караганда;5 ноября
Web-разработчик;;ТОО Интермедиа Астана;Нур-Султан;25 ноября
Программист 1С;350 000-500 000 KZT;ТОО IT-TRANSFORMATION;Алматы;10 ноября
Инженер технической поддержки;;ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL);Алматы;6 ноября
UI/UX & Graphic designer;200 000-400 000 KZT;ТОО Documentolog;Нур-Султан;25 ноября
Технический специалист (IT);100 000-200 000 KZT; Sulpak;Павлодар;2 ноября
Интернет маркетолог (Digital Marketer) в интернет магазин Аптекаплюс;от 300 000 KZT;ТОО АПТЕКАПЛЮС;Алматы;24 ноября
Специалист технической поддержки (системный администратор);от 150 000 KZT;ТОО Kazdream Technologies;Нур-Султан;17 ноября
Техник по работе с абонентами Центра первой линии технической поддержки (г. Нур-Султан);;АО Казахтелеком;Нур-Султан;16 ноября
SMM-менеджер;;ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан);Нур-Султан;16 ноября
Программист / специалист по интернет-проектам;220 000-300 000 KZT;ТОО Galamat Integra;Нур-Султан;24 ноября
Junior/Middle Data Scientist/Machine Learning engineer (remotely);; GranSoft;Алматы;13 ноября
Технический специалист;;ТОО Astana-Plat;Алтай (Зыряновск);2 ноября
Технический специалист в онлайн-школу;20 000-30 000 руб.; Your English Trainer;Нур-Султан;18 ноября
Java Developer (remotedly);;ТОО Business and Technology Services;Нур-Султан;17 ноября
Веб-программист;;ТОО 1С-Рейтинг;Усть-Каменогорск;25 ноября
Web-разработчик;300 000-400 000 KZT;ТОО BRAINEX;Петропавловск;25 ноября
React разработчик;300 000-400 000 KZT;ТОО Canvas;Нур-Султан;4 ноября
Ассистент операционного директора (Контроллинг, Аналитика, Проекты);;ТОО Alem Agro Holding (АлемАгро Холдинг);Нур-Султан;4 ноября
Front-end, Full stack Java Developer (Разработчик);150 000-600 000 KZT;ТОО UCO;Алматы;30 октября
Специалист системы мониторинга обращений;;ТОО MAGNUM. Информационные технологии/Ақпараттық технологиялар;Алматы;17 ноября
Python Developer;до 800 000 KZT;ТОО AVIATA.KZ;Алматы;26 ноября
Frontend-разработчик;80 000-125 000 руб.; Creative;Алматы;25 ноября
Тестировщик программного обеспечения;;АО Казахтелеком;Нур-Султан;24 ноября
Системный администратор;до 150 000 KZT;ТОО Кристалл Авто;Шымкент;26 ноября
Инженер информационных технологии ЦОД;164 000-187 800 KZT;АО Транстелеком;Атырау;18 ноября
UX-researcher (исследователь пользовательского поведения);300 000-600 000 KZT; Kolesa Group;Алматы;13 ноября
Специалист по информационным технологиям и WMC системам, г. Шымкент;;АО TECHNODOM Operator (Технодом Оператор);Шымкент;7 ноября
Системный администратор;;ТОО Фирма Экомед, ТОО (Клиника репродукции человека Экомед, ТМ);Алматы;2 ноября
ИТ-специалист, г. Шымкент;;ТОО Торговая Компания Мегаполис-Казахстан;Шымкент;18 ноября
Видеограф;180 000-200 000 KZT;ТОО DoroMarine;Алматы;26 ноября
Web-дизайнер;до 300 000 KZT;ТОО Торговая компания АЛА, ТМ EuroMebel;Алматы;24 ноября
Технический специалист;;ТОО Astana-Plat;Чунджа;4 ноября
PHP-разработчик;;ТОО Gexabyte;Караганда;12 ноября
Администратор баз данных;;ТОО Микрофинансовая организация KMF(КМФ);Алматы;25 ноября
Инженер по проектам (проектировщик раздела АТХ);;ТОО KAZPROM ENGINEERING;Караганда;19 ноября
Технический специалист (IT);100 000-250 000 KZT; Sulpak;Шымкент;28 октября
"Ведущий специалист Управление ""Единой системы мониторинга""";от 150 000 KZT;АО Национальные информационные технологии;Нур-Султан;4 ноября
СММ/рекламный менеджер;от 120 000 KZT;ИП Губер СВ;Уральск;16 ноября
Программист 1С;200 000-250 000 KZT;ТОО Казмедимпорт;Усть-Каменогорск;20 ноября
Data-инженер/ разработчик DWH;от 550 000 KZT;АО ForteBank;Нур-Султан;23 ноября
Системный аналитик (IT);; Банк ВТБ (Казахстан) Дочерняя организация Акционерное общество;Алматы;4 ноября
Инженер по браку, г.Шу;;ТОО Компания ЭВРИКА;Шу;29 октября
Инженер-программист pl/sql;;ТОО ЦФТ-Азия;Алматы, Алатау и еще 1 ;26 ноября
Data Analyst;;ТОО Epam Kazakhstan (Эпам Казахстан),ТОО;Алматы;16 ноября
Технический специалист (IT);100 000-250 000 KZT; Sulpak;Сатпаев;7 ноября
Преподаватель программирования для детей и подростков (Алгоритмика);100 000-400 000 KZT;ИП Бидамбекова М.Б;Алматы;15 ноября
Senior Data аналитик/Data Scientist;; Beeline, ТМ;Алматы;5 ноября
Менеджер по работе с должниками;150 000-200 000 KZT;ТОО NLS Kazakhstan;Алматы;24 ноября
Аналитик IT;;ТОО Esepshi.kz;Нур-Султан;12 ноября
IT аналитик по управлению проектами/менеджер-аналитик в сфере IT;от 200 000 KZT; РГП на ПХВ Республиканский центр электронного здравоохранения;Нур-Султан;24 ноября
Middle backend-разработчик;100 000-300 000 KZT;ТОО TEQ World;Нур-Султан;26 ноября
Программист 1C;от 250 000 KZT;ИП TIBAY;Караганда;26 ноября
Руководитель интернет-магазина;от 200 000 KZT;ТОО 12 месяцев-Астана;Нур-Султан;16 ноября
Тестировщик;;ТОО Globerce Inc.;Алматы;2 ноября
Начальник отдела облачных технологий;от 350 000 KZT;ТОО NLS Kazakhstan;Алматы;25 ноября
Менеджер (продажа летательных аппаратов - дроны и квадрокоптеры);;ТОО Алси;Алматы;3 ноября
Backend разработчик;350 000-800 000 KZT;ТОО MN Partners;Нур-Султан;29 октября
Монтажник слаботочных систем;120 000-250 000 KZT;ТОО Новые технологии- Астана;Нур-Султан;3 ноября
Старший специалист по аналитике и отчетности;;ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL);Алматы;9 ноября
Аналитик данных;;ТОО Effective Media Liaison;Алматы, Сайран;25 ноября
Специалист офиса cо знанием английского языка;от 135 000 KZT;ТОО Готовые Интернет Решения;Талдыкорган;19 ноября
Business Analyst;;ТОО Epam Kazakhstan (Эпам Казахстан),ТОО;Нур-Султан;16 ноября
DevOps-инженер;300 000-800 000 KZT;ТОО AVIATA.KZ;Алматы;24 ноября
Менеджер по развитию Corporate бизнеса;;ТОО Smart Solutions Personnel;Алматы;24 ноября
Системный администратор;от 90 000 KZT;ТОО Микрофинансовая организация Дом кредитов;Караганда;11 ноября
Менеджер флагмана в г. Нур-Султан (руководитель офиса продаж);; Beeline, ТМ;Нур-Султан;23 ноября
UI/UX-дизайнер;300-800 USD; Конопко Маргарита;Караганда;6 ноября
Manual QA engineer / Тестировщик;;ТОО Applied RFID Kazakhstan;Алматы, Москва;2 ноября
Менеджер по продажам;200 000-400 000 KZT;ТОО ВЕХИ;Нур-Султан;16 ноября
Консультант по Информационным системам;от 100 000 KZT; ALSECO, АО;Нур-Султан;19 ноября
Front-end React Native Developer middle;от 1 800 бел. руб.; Kid Security Limited;Нур-Султан;6 ноября
Backend developer;;ТОО InCraft;Алматы;17 ноября
Аналитик;; Beeline, ТМ;Алматы;28 октября
