Title;Salary;Company;Location;Date
Инженер-системотехник;180 000-250 000 KZT;ТОО GLB;Нур-Султан;16 ноября
Менеджер по проектам;от 300 000 KZT;ТОО TDS Media;Алматы;25 ноября
Программист;; Банк ВТБ (Казахстан) Дочерняя организация Акционерное общество;Алматы;25 ноября
Старший специалист (Отдел развития систем сервиса);; Beeline, ТМ;Алматы;26 ноября
Выездной IT-специалист в HELP-DESK аутсорсинговую компанию;от 180 000 KZT;ИП Fix iT Service;Алматы;25 ноября
Тренер / Сервис-менеджер по автоматизации ресторана (удалённо);100 000-250 000 KZT;ТОО OPENSERVICE.KZ;Алматы;26 ноября
Back - End Developer;;АО ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE;Алматы;25 ноября
Системный администратор;;ТОО Микрофинансовая организация KMF(КМФ);Нур-Султан;18 ноября
Data Science;400 000-600 000 KZT;ТОО Vitatrade;Алматы;16 ноября
Программист по бизнес-аналитике;;ТОО Прима Distribution;Алматы;24 ноября
Java разработчик (Pillikan);300 000-800 000 KZT;ТОО Smart Idea Group;Шымкент;26 ноября
Frontend-разработчик;;ТОО Kazdream Technologies;Нур-Султан;18 ноября
Менеджер интернет-магазина;;ИП HR Solutions (ТМ Белый Ветер KZ);Нур-Султан;21 ноября
Frontend-разработчик;от 400 000 KZT;ТОО Аврора Холдинг;Алматы;24 ноября
Менеджер по продажам в ателье по пошиву одежды (удаленно);110 000-250 000 KZT;ТОО Oktrening;Алматы;24 ноября
Системный аналитик;;ТОО BP MANAGEMENT GROUP;Алматы, Байконур;23 ноября
Front-end разработчик/Верстальщик сайтов;до 250 000 KZT;ТОО THE WEB;Тараз;20 ноября
Frontend developer;;ТОО InCraft;Алматы;17 ноября
Эксперт-оценщик;110 000-150 000 KZT;ТОО Expert Lab Company;Отеген-Батыр;7 ноября
Product Manager/ Продукт-Менеджер;300 000-600 000 KZT; Kolesa Group;Алматы;3 ноября
Laravel разработчик;150 000-400 000 KZT;ТОО Давай Сходим;Алматы;7 ноября
